title,date,author,summary
AgeneBio_Announces_Two_NIH_Grant_Awards_to_Advance_its_Thera.html,,AGeneBio,"October 9, 2018
“We are grateful to the NIA for the award supporting our Phase 3 clinical trial for AGB-101 and the significant additional BPN resources to help advance AgeneBio’s neurotherapeutics that hold so much promise to stem the spread of this looming public health crisis,” said Dr. Michela Gallagher , AgeneBio’s CEO.
The NIH clinical award partially funds a Phase 3 clinical trial of a therapeutic to treat patients with MCI due to AD, characterized by progressive premature memory impairme"
Sharon_Rosenzweig-Lipson__AgeneBio_VP_of_R_D__presents_at_Cl.html,,AGeneBio,"December 7, 2019
Abstract:
Background:
No effective therapies exist to halt or reverse Alzheimer’s disease (AD). With a predicted prevalence of AD cases rising to >100 million worldwide by 2050, the need for such therapies is urgent. The prevalence of patients with AD dementia, who represent the greatest human and economic burden, could be dramatically reduced by preventing or delaying progression in early phases of the disease, such as Mild Cognitive Impairment (MCI) due to AD (prodromal AD). T"
The_Alzheimer_s_Association_International_Conference__AAIC__.html,,AGeneBio,"August 5, 2025
AAIC Session July 30, 2025
“Network alterations and aberrant neuronal activity in Alzheimer’s disease: novel targets to understand and influence disease progression”
Our presentation within this scientific session focused on AD biomarker findings in AgeneBio’s HOPE4MCI clinical trial. AgeneBio’s presentation also announced the development of novel GABA alpha5 PAMS to optimally target the condition of neuronal hyperactivity in prodromal AD (and other neurological and psychiatric in"
AgeneBio_Founder_Michela_Gallagher_Presents_Hope4MCI_Results.html,,AGeneBio,"April 23, 2024
Examining Progression in MCI Due to AD: Results from a Phase 2b Trial of AGB101
AgeneBio-Inc"
AgeneBio_s_Phase_2B_Trial_Shows_AGB101_Slows_Progression_of_.html,,AGeneBio,"October 17, 2024
• The Phase 2B trial showed 40% less clinical decline and significantly reduced atrophy of the
entorhinal cortex, a key marker of disease progression, compared to placebo in ApoE-4 non-
carriers with MCI due to AD
• Patients were given a once-daily dose of AGB-101, a proprietary low-dose extended-release
formulation of levetiracetam or placebo in a randomized controlled trial.
HOPE4MCI Phase 2B study ( NCT03486938 ) sharing promising results for Alzheimer’s patients who
do not c"
AgeneBio_using_over__3M_in_new_funding_to_further_develop_Al.html,,AGeneBio,"September 11, 2019
Coverage of our funding is available here .
AgeneBio-Inc"
AgeneBio_to_Receive_up_to__10_Million_in_NIH_Funding_to_Adva.html,,AGeneBio,"September 13, 2017
The grant is funded as part of the Blueprint Neurotherapeutics Network (BPN) of the NIH Blueprint for Neuroscience Research, a collaboration of NIH Institutes and Centers that supports research on the nervous system with one goal of developing new neurotherapeutic drugs. As part of the grant, AgeneBio will team with the BPN network, capitalizing on the scientific expertise of the company while expanding access to contract research organizations and academic institutions to adv"
AgeneBio_Announces_First_Patient_Enrollment_in_the_Phase_3_C.html,,AGeneBio,"January 17, 2019
“We are very excited to have commenced the next phase of development on this novel approach to addressing the looming global public health crisis presented by Alzheimer’s Disease,” said Richard Mohs, Principal Investigator on AgeneBio’s HOPE4MCI clinical trial. “We have been extremely encouraged by the number of people who have expressed interest in participating in this trial.”
Accumulated scientific evidence in the field has demonstrated that neural overactivity drives both am"
Medical_News_Today__Could_a_once-daily_pill_for_seizures_als.html,,AGeneBio,"October 29, 2024
https://www.medicalnewstoday.com/articles/could-a-once-daily-pill-for-seizures-also-treat-alzheimers-disease
AgeneBio-Inc"
AgeneBio_Receives_NIH_Grant_to_Initiate_Phase_3_HOPE4MCI_Tri.html,,AGeneBio,"September 19, 2017
“With the award of this additional funding from the NIH, we will immediately initiate the Phase 3 trial start-up with an initial cohort of clinical sites and expect to enroll the first patient during the first quarter of 2018,” said Richard Mohs, PhD , AgeneBio’s Vice President of Clinical Development and Principal Investigator for this NIH award. “We expect the HOPE4MCI trial to demonstrate efficacy in preserving cognition and memory in MCI due to AD patients while delaying p"
AgeneBio_to_Present_at_8th_Annual_Clinical_Trials_on_Alzheim.html,,AGeneBio,"October 22, 2015
Dr. Gallagher and Dr. Rosenzweig-Lipson will present “Clinical Trial in MCI Reducing Hippocampal Overactivity: HOPE4MCI,” AgeneBio’s upcoming Phase 3 trial designed to slow the progression to – and delay the onset of – amnestic mild cognitive impairment, the symptomatic preclinical stage of Alzheimer’s. Additionally, Dr. Rosenzweig-Lipson will present a poster entitled “Pharmacokinetic Profile of a Novel Low Dose Extended Release Formulation of AGB101 (Levetiracetam),” AgeneBio’"
